Date_Key,Date,Day,Month,Month_Name,Quarter,Year,FY,Week_Number,Day_Name,Is_Weekend,Is_Public_Holiday
20230416,2023-04-16,16,4,April,Q2,2023,FY2023,15,Sunday,Yes,No
20230417,2023-04-17,17,4,April,Q2,2023,FY2023,16,Monday,No,No
20230418,2023-04-18,18,4,April,Q2,2023,FY2023,16,Tuesday,No,Yes
20230419,2023-04-19,19,4,April,Q2,2023,FY2023,16,Wednesday,No,No
20230420,2023-04-20,20,4,April,Q2,2023,FY2023,16,Thursday,No,No
20230421,2023-04-21,21,4,April,Q2,2023,FY2023,16,Friday,No,Yes
20230422,2023-04-22,22,4,April,Q2,2023,FY2023,16,Saturday,Yes,No
20230423,2023-04-23,23,4,April,Q2,2023,FY2023,16,Sunday,Yes,No
20230424,2023-04-24,24,4,April,Q2,2023,FY2023,17,Monday,No,No
20230425,2023-04-25,25,4,April,Q2,2023,FY2023,17,Tuesday,No,No
20230426,2023-04-26,26,4,April,Q2,2023,FY2023,17,Wednesday,No,No
20230427,2023-04-27,27,4,April,Q2,2023,FY2023,17,Thursday,No,No
20230428,2023-04-28,28,4,April,Q2,2023,FY2023,17,Friday,No,No
20230429,2023-04-29,29,4,April,Q2,2023,FY2023,17,Saturday,Yes,No
20230430,2023-04-30,30,4,April,Q2,2023,FY2023,17,Sunday,Yes,No
20230501,2023-05-01,1,5,May,Q2,2023,FY2023,18,Monday,No,Yes
20230502,2023-05-02,2,5,May,Q2,2023,FY2023,18,Tuesday,No,No
20230503,2023-05-03,3,5,May,Q2,2023,FY2023,18,Wednesday,No,No
20230504,2023-05-04,4,5,May,Q2,2023,FY2023,18,Thursday,No,No
20230505,2023-05-05,5,5,May,Q2,2023,FY2023,18,Friday,No,No
20230506,2023-05-06,6,5,May,Q2,2023,FY2023,18,Saturday,Yes,No
20230507,2023-05-07,7,5,May,Q2,2023,FY2023,18,Sunday,Yes,No
20230508,2023-05-08,8,5,May,Q2,2023,FY2023,19,Monday,No,No
20230509,2023-05-09,9,5,May,Q2,2023,FY2023,19,Tuesday,No,No
20230510,2023-05-10,10,5,May,Q2,2023,FY2023,19,Wednesday,No,No
20230511,2023-05-11,11,5,May,Q2,2023,FY2023,19,Thursday,No,No
20230512,2023-05-12,12,5,May,Q2,2023,FY2023,19,Friday,No,No
20230513,2023-05-13,13,5,May,Q2,2023,FY2023,19,Saturday,Yes,No
20230514,2023-05-14,14,5,May,Q2,2023,FY2023,19,Sunday,Yes,No
20230515,2023-05-15,15,5,May,Q2,2023,FY2023,20,Monday,No,No
20230516,2023-05-16,16,5,May,Q2,2023,FY2023,20,Tuesday,No,No
20230517,2023-05-17,17,5,May,Q2,2023,FY2023,20,Wednesday,No,No
20230518,2023-05-18,18,5,May,Q2,2023,FY2023,20,Thursday,No,No
20230519,2023-05-19,19,5,May,Q2,2023,FY2023,20,Friday,No,No
20230520,2023-05-20,20,5,May,Q2,2023,FY2023,20,Saturday,Yes,No
20230521,2023-05-21,21,5,May,Q2,2023,FY2023,20,Sunday,Yes,No
20230522,2023-05-22,22,5,May,Q2,2023,FY2023,21,Monday,No,No
20230523,2023-05-23,23,5,May,Q2,2023,FY2023,21,Tuesday,No,No
20230524,2023-05-24,24,5,May,Q2,2023,FY2023,21,Wednesday,No,No
20230525,2023-05-25,25,5,May,Q2,2023,FY2023,21,Thursday,No,No
20230526,2023-05-26,26,5,May,Q2,2023,FY2023,21,Friday,No,No
20230527,2023-05-27,27,5,May,Q2,2023,FY2023,21,Saturday,Yes,Yes
20230528,2023-05-28,28,5,May,Q2,2023,FY2023,21,Sunday,Yes,No
20230529,2023-05-29,29,5,May,Q2,2023,FY2023,22,Monday,No,No
20230530,2023-05-30,30,5,May,Q2,2023,FY2023,22,Tuesday,No,No
20230531,2023-05-31,31,5,May,Q2,2023,FY2023,22,Wednesday,No,No
20230601,2023-06-01,1,6,June,Q2,2023,FY2023,22,Thursday,No,No
20230602,2023-06-02,2,6,June,Q2,2023,FY2023,22,Friday,No,No
20230603,2023-06-03,3,6,June,Q2,2023,FY2023,22,Saturday,Yes,No
20230604,2023-06-04,4,6,June,Q2,2023,FY2023,22,Sunday,Yes,No
20230605,2023-06-05,5,6,June,Q2,2023,FY2023,23,Monday,No,No
20230606,2023-06-06,6,6,June,Q2,2023,FY2023,23,Tuesday,No,No
20230607,2023-06-07,7,6,June,Q2,2023,FY2023,23,Wednesday,No,No
20230608,2023-06-08,8,6,June,Q2,2023,FY2023,23,Thursday,No,No
20230609,2023-06-09,9,6,June,Q2,2023,FY2023,23,Friday,No,No
20230610,2023-06-10,10,6,June,Q2,2023,FY2023,23,Saturday,Yes,No
20230611,2023-06-11,11,6,June,Q2,2023,FY2023,23,Sunday,Yes,No
20230612,2023-06-12,12,6,June,Q2,2023,FY2023,24,Monday,No,Yes
20230613,2023-06-13,13,6,June,Q2,2023,FY2023,24,Tuesday,No,Yes
20230614,2023-06-14,14,6,June,Q2,2023,FY2023,24,Wednesday,No,No
20230615,2023-06-15,15,6,June,Q2,2023,FY2023,24,Thursday,No,No
20230616,2023-06-16,16,6,June,Q2,2023,FY2023,24,Friday,No,No
20230617,2023-06-17,17,6,June,Q2,2023,FY2023,24,Saturday,Yes,No
20230618,2023-06-18,18,6,June,Q2,2023,FY2023,24,Sunday,Yes,No
20230619,2023-06-19,19,6,June,Q2,2023,FY2023,25,Monday,No,No
20230620,2023-06-20,20,6,June,Q2,2023,FY2023,25,Tuesday,No,No
20230621,2023-06-21,21,6,June,Q2,2023,FY2023,25,Wednesday,No,No
20230622,2023-06-22,22,6,June,Q2,2023,FY2023,25,Thursday,No,No
20230623,2023-06-23,23,6,June,Q2,2023,FY2023,25,Friday,No,No
20230624,2023-06-24,24,6,June,Q2,2023,FY2023,25,Saturday,Yes,No
20230625,2023-06-25,25,6,June,Q2,2023,FY2023,25,Sunday,Yes,No
20230626,2023-06-26,26,6,June,Q2,2023,FY2023,26,Monday,No,No
20230627,2023-06-27,27,6,June,Q2,2023,FY2023,26,Tuesday,No,No
20230628,2023-06-28,28,6,June,Q2,2023,FY2023,26,Wednesday,No,No
20230629,2023-06-29,29,6,June,Q2,2023,FY2023,26,Thursday,No,No
20230630,2023-06-30,30,6,June,Q2,2023,FY2023,26,Friday,No,No
20230701,2023-07-01,1,7,July,Q3,2023,FY2023,26,Saturday,Yes,No
20230702,2023-07-02,2,7,July,Q3,2023,FY2023,26,Sunday,Yes,No
20230703,2023-07-03,3,7,July,Q3,2023,FY2023,27,Monday,No,No
20230704,2023-07-04,4,7,July,Q3,2023,FY2023,27,Tuesday,No,No
20230705,2023-07-05,5,7,July,Q3,2023,FY2023,27,Wednesday,No,No
20230706,2023-07-06,6,7,July,Q3,2023,FY2023,27,Thursday,No,No
20230707,2023-07-07,7,7,July,Q3,2023,FY2023,27,Friday,No,No
20230708,2023-07-08,8,7,July,Q3,2023,FY2023,27,Saturday,Yes,No
20230709,2023-07-09,9,7,July,Q3,2023,FY2023,27,Sunday,Yes,No
20230710,2023-07-10,10,7,July,Q3,2023,FY2023,28,Monday,No,No
20230711,2023-07-11,11,7,July,Q3,2023,FY2023,28,Tuesday,No,No
20230712,2023-07-12,12,7,July,Q3,2023,FY2023,28,Wednesday,No,No
20230713,2023-07-13,13,7,July,Q3,2023,FY2023,28,Thursday,No,No
20230714,2023-07-14,14,7,July,Q3,2023,FY2023,28,Friday,No,No
20230715,2023-07-15,15,7,July,Q3,2023,FY2023,28,Saturday,Yes,No
20230716,2023-07-16,16,7,July,Q3,2023,FY2023,28,Sunday,Yes,No
20230717,2023-07-17,17,7,July,Q3,2023,FY2023,29,Monday,No,No
20230718,2023-07-18,18,7,July,Q3,2023,FY2023,29,Tuesday,No,No
20230719,2023-07-19,19,7,July,Q3,2023,FY2023,29,Wednesday,No,No
20230720,2023-07-20,20,7,July,Q3,2023,FY2023,29,Thursday,No,No
20230721,2023-07-21,21,7,July,Q3,2023,FY2023,29,Friday,No,No
20230722,2023-07-22,22,7,July,Q3,2023,FY2023,29,Saturday,Yes,No
20230723,2023-07-23,23,7,July,Q3,2023,FY2023,29,Sunday,Yes,No
20230724,2023-07-24,24,7,July,Q3,2023,FY2023,30,Monday,No,No
20230725,2023-07-25,25,7,July,Q3,2023,FY2023,30,Tuesday,No,No
20230726,2023-07-26,26,7,July,Q3,2023,FY2023,30,Wednesday,No,No
20230727,2023-07-27,27,7,July,Q3,2023,FY2023,30,Thursday,No,No
20230728,2023-07-28,28,7,July,Q3,2023,FY2023,30,Friday,No,No
20230729,2023-07-29,29,7,July,Q3,2023,FY2023,30,Saturday,Yes,No
20230730,2023-07-30,30,7,July,Q3,2023,FY2023,30,Sunday,Yes,No
20230731,2023-07-31,31,7,July,Q3,2023,FY2023,31,Monday,No,No
20230801,2023-08-01,1,8,August,Q3,2023,FY2023,31,Tuesday,No,No
20230802,2023-08-02,2,8,August,Q3,2023,FY2023,31,Wednesday,No,No
20230803,2023-08-03,3,8,August,Q3,2023,FY2023,31,Thursday,No,No
20230804,2023-08-04,4,8,August,Q3,2023,FY2023,31,Friday,No,No
20230805,2023-08-05,5,8,August,Q3,2023,FY2023,31,Saturday,Yes,No
20230806,2023-08-06,6,8,August,Q3,2023,FY2023,31,Sunday,Yes,No
20230807,2023-08-07,7,8,August,Q3,2023,FY2023,32,Monday,No,No
20230808,2023-08-08,8,8,August,Q3,2023,FY2023,32,Tuesday,No,No
20230809,2023-08-09,9,8,August,Q3,2023,FY2023,32,Wednesday,No,No
20230810,2023-08-10,10,8,August,Q3,2023,FY2023,32,Thursday,No,No
20230811,2023-08-11,11,8,August,Q3,2023,FY2023,32,Friday,No,No
20230812,2023-08-12,12,8,August,Q3,2023,FY2023,32,Saturday,Yes,No
20230813,2023-08-13,13,8,August,Q3,2023,FY2023,32,Sunday,Yes,No
20230814,2023-08-14,14,8,August,Q3,2023,FY2023,33,Monday,No,No
20230815,2023-08-15,15,8,August,Q3,2023,FY2023,33,Tuesday,No,No
20230816,2023-08-16,16,8,August,Q3,2023,FY2023,33,Wednesday,No,No
20230817,2023-08-17,17,8,August,Q3,2023,FY2023,33,Thursday,No,No
20230818,2023-08-18,18,8,August,Q3,2023,FY2023,33,Friday,No,No
20230819,2023-08-19,19,8,August,Q3,2023,FY2023,33,Saturday,Yes,No
20230820,2023-08-20,20,8,August,Q3,2023,FY2023,33,Sunday,Yes,No
20230821,2023-08-21,21,8,August,Q3,2023,FY2023,34,Monday,No,No
20230822,2023-08-22,22,8,August,Q3,2023,FY2023,34,Tuesday,No,No
20230823,2023-08-23,23,8,August,Q3,2023,FY2023,34,Wednesday,No,No
20230824,2023-08-24,24,8,August,Q3,2023,FY2023,34,Thursday,No,No
20230825,2023-08-25,25,8,August,Q3,2023,FY2023,34,Friday,No,No
20230826,2023-08-26,26,8,August,Q3,2023,FY2023,34,Saturday,Yes,No
20230827,2023-08-27,27,8,August,Q3,2023,FY2023,34,Sunday,Yes,No
20230828,2023-08-28,28,8,August,Q3,2023,FY2023,35,Monday,No,No
20230829,2023-08-29,29,8,August,Q3,2023,FY2023,35,Tuesday,No,No
20230830,2023-08-30,30,8,August,Q3,2023,FY2023,35,Wednesday,No,No
20230831,2023-08-31,31,8,August,Q3,2023,FY2023,35,Thursday,No,No
20230901,2023-09-01,1,9,September,Q3,2023,FY2023,35,Friday,No,No
20230902,2023-09-02,2,9,September,Q3,2023,FY2023,35,Saturday,Yes,No
20230903,2023-09-03,3,9,September,Q3,2023,FY2023,35,Sunday,Yes,No
20230904,2023-09-04,4,9,September,Q3,2023,FY2023,36,Monday,No,No
20230905,2023-09-05,5,9,September,Q3,2023,FY2023,36,Tuesday,No,No
20230906,2023-09-06,6,9,September,Q3,2023,FY2023,36,Wednesday,No,No
20230907,2023-09-07,7,9,September,Q3,2023,FY2023,36,Thursday,No,No
20230908,2023-09-08,8,9,September,Q3,2023,FY2023,36,Friday,No,No
20230909,2023-09-09,9,9,September,Q3,2023,FY2023,36,Saturday,Yes,No
20230910,2023-09-10,10,9,September,Q3,2023,FY2023,36,Sunday,Yes,No
20230911,2023-09-11,11,9,September,Q3,2023,FY2023,37,Monday,No,No
20230912,2023-09-12,12,9,September,Q3,2023,FY2023,37,Tuesday,No,No
20230913,2023-09-13,13,9,September,Q3,2023,FY2023,37,Wednesday,No,No
20230914,2023-09-14,14,9,September,Q3,2023,FY2023,37,Thursday,No,No
20230915,2023-09-15,15,9,September,Q3,2023,FY2023,37,Friday,No,No
20230916,2023-09-16,16,9,September,Q3,2023,FY2023,37,Saturday,Yes,No
20230917,2023-09-17,17,9,September,Q3,2023,FY2023,37,Sunday,Yes,No
20230918,2023-09-18,18,9,September,Q3,2023,FY2023,38,Monday,No,No
20230919,2023-09-19,19,9,September,Q3,2023,FY2023,38,Tuesday,No,No
20230920,2023-09-20,20,9,September,Q3,2023,FY2023,38,Wednesday,No,No
20230921,2023-09-21,21,9,September,Q3,2023,FY2023,38,Thursday,No,No
20230922,2023-09-22,22,9,September,Q3,2023,FY2023,38,Friday,No,No
20230923,2023-09-23,23,9,September,Q3,2023,FY2023,38,Saturday,Yes,No
20230924,2023-09-24,24,9,September,Q3,2023,FY2023,38,Sunday,Yes,No
20230925,2023-09-25,25,9,September,Q3,2023,FY2023,39,Monday,No,No
20230926,2023-09-26,26,9,September,Q3,2023,FY2023,39,Tuesday,No,No
20230927,2023-09-27,27,9,September,Q3,2023,FY2023,39,Wednesday,No,No
20230928,2023-09-28,28,9,September,Q3,2023,FY2023,39,Thursday,No,No
20230929,2023-09-29,29,9,September,Q3,2023,FY2023,39,Friday,No,No
20230930,2023-09-30,30,9,September,Q3,2023,FY2023,39,Saturday,Yes,No
20231001,2023-10-01,1,10,October,Q4,2023,FY2023,39,Sunday,Yes,Yes
20231002,2023-10-02,2,10,October,Q4,2023,FY2023,40,Monday,No,Yes
20231003,2023-10-03,3,10,October,Q4,2023,FY2023,40,Tuesday,No,No
20231004,2023-10-04,4,10,October,Q4,2023,FY2023,40,Wednesday,No,No
20231005,2023-10-05,5,10,October,Q4,2023,FY2023,40,Thursday,No,No
20231006,2023-10-06,6,10,October,Q4,2023,FY2023,40,Friday,No,No
20231007,2023-10-07,7,10,October,Q4,2023,FY2023,40,Saturday,Yes,No
20231008,2023-10-08,8,10,October,Q4,2023,FY2023,40,Sunday,Yes,No
20231009,2023-10-09,9,10,October,Q4,2023,FY2023,41,Monday,No,No
20231010,2023-10-10,10,10,October,Q4,2023,FY2023,41,Tuesday,No,No
20231011,2023-10-11,11,10,October,Q4,2023,FY2023,41,Wednesday,No,No
20231012,2023-10-12,12,10,October,Q4,2023,FY2023,41,Thursday,No,No
20231013,2023-10-13,13,10,October,Q4,2023,FY2023,41,Friday,No,No
20231014,2023-10-14,14,10,October,Q4,2023,FY2023,41,Saturday,Yes,No
20231015,2023-10-15,15,10,October,Q4,2023,FY2023,41,Sunday,Yes,No
20231016,2023-10-16,16,10,October,Q4,2023,FY2023,42,Monday,No,No
20231017,2023-10-17,17,10,October,Q4,2023,FY2023,42,Tuesday,No,No
20231018,2023-10-18,18,10,October,Q4,2023,FY2023,42,Wednesday,No,No
20231019,2023-10-19,19,10,October,Q4,2023,FY2023,42,Thursday,No,No
20231020,2023-10-20,20,10,October,Q4,2023,FY2023,42,Friday,No,No
20231021,2023-10-21,21,10,October,Q4,2023,FY2023,42,Saturday,Yes,No
20231022,2023-10-22,22,10,October,Q4,2023,FY2023,42,Sunday,Yes,No
20231023,2023-10-23,23,10,October,Q4,2023,FY2023,43,Monday,No,No
20231024,2023-10-24,24,10,October,Q4,2023,FY2023,43,Tuesday,No,No
20231025,2023-10-25,25,10,October,Q4,2023,FY2023,43,Wednesday,No,No
20231026,2023-10-26,26,10,October,Q4,2023,FY2023,43,Thursday,No,No
20231027,2023-10-27,27,10,October,Q4,2023,FY2023,43,Friday,No,No
20231028,2023-10-28,28,10,October,Q4,2023,FY2023,43,Saturday,Yes,No
20231029,2023-10-29,29,10,October,Q4,2023,FY2023,43,Sunday,Yes,No
20231030,2023-10-30,30,10,October,Q4,2023,FY2023,44,Monday,No,No
20231031,2023-10-31,31,10,October,Q4,2023,FY2023,44,Tuesday,No,No
20231101,2023-11-01,1,11,November,Q4,2023,FY2023,44,Wednesday,No,No
20231102,2023-11-02,2,11,November,Q4,2023,FY2023,44,Thursday,No,No
20231103,2023-11-03,3,11,November,Q4,2023,FY2023,44,Friday,No,No
20231104,2023-11-04,4,11,November,Q4,2023,FY2023,44,Saturday,Yes,No
20231105,2023-11-05,5,11,November,Q4,2023,FY2023,44,Sunday,Yes,No
20231106,2023-11-06,6,11,November,Q4,2023,FY2023,45,Monday,No,No
20231107,2023-11-07,7,11,November,Q4,2023,FY2023,45,Tuesday,No,No
20231108,2023-11-08,8,11,November,Q4,2023,FY2023,45,Wednesday,No,No
20231109,2023-11-09,9,11,November,Q4,2023,FY2023,45,Thursday,No,No
20231110,2023-11-10,10,11,November,Q4,2023,FY2023,45,Friday,No,No
20231111,2023-11-11,11,11,November,Q4,2023,FY2023,45,Saturday,Yes,No
20231112,2023-11-12,12,11,November,Q4,2023,FY2023,45,Sunday,Yes,No
20231113,2023-11-13,13,11,November,Q4,2023,FY2023,46,Monday,No,No
20231114,2023-11-14,14,11,November,Q4,2023,FY2023,46,Tuesday,No,No
20231115,2023-11-15,15,11,November,Q4,2023,FY2023,46,Wednesday,No,No
20231116,2023-11-16,16,11,November,Q4,2023,FY2023,46,Thursday,No,No
20231117,2023-11-17,17,11,November,Q4,2023,FY2023,46,Friday,No,No
20231118,2023-11-18,18,11,November,Q4,2023,FY2023,46,Saturday,Yes,No
20231119,2023-11-19,19,11,November,Q4,2023,FY2023,46,Sunday,Yes,No
20231120,2023-11-20,20,11,November,Q4,2023,FY2023,47,Monday,No,No
20231121,2023-11-21,21,11,November,Q4,2023,FY2023,47,Tuesday,No,No
20231122,2023-11-22,22,11,November,Q4,2023,FY2023,47,Wednesday,No,No
20231123,2023-11-23,23,11,November,Q4,2023,FY2023,47,Thursday,No,No
20231124,2023-11-24,24,11,November,Q4,2023,FY2023,47,Friday,No,No
20231125,2023-11-25,25,11,November,Q4,2023,FY2023,47,Saturday,Yes,No
20231126,2023-11-26,26,11,November,Q4,2023,FY2023,47,Sunday,Yes,No
20231127,2023-11-27,27,11,November,Q4,2023,FY2023,48,Monday,No,No
20231128,2023-11-28,28,11,November,Q4,2023,FY2023,48,Tuesday,No,No
20231129,2023-11-29,29,11,November,Q4,2023,FY2023,48,Wednesday,No,No
20231130,2023-11-30,30,11,November,Q4,2023,FY2023,48,Thursday,No,No
20231201,2023-12-01,1,12,December,Q4,2023,FY2023,48,Friday,No,No
20231202,2023-12-02,2,12,December,Q4,2023,FY2023,48,Saturday,Yes,No
20231203,2023-12-03,3,12,December,Q4,2023,FY2023,48,Sunday,Yes,No
20231204,2023-12-04,4,12,December,Q4,2023,FY2023,49,Monday,No,No
20231205,2023-12-05,5,12,December,Q4,2023,FY2023,49,Tuesday,No,No
20231206,2023-12-06,6,12,December,Q4,2023,FY2023,49,Wednesday,No,No
20231207,2023-12-07,7,12,December,Q4,2023,FY2023,49,Thursday,No,No
