Product ID,SKU,Barcode,Product Name,Brand,Product Category,Product Subcategory,Unit of Measure,Product Status,Warehouse,Warehouse Code,Bin Location,Aisle,Shelf,Batch Number,Lot Number,Quantity On Hand,Quantity Reserved,Available Quantity,Reorder Level,Safety Stock,Maximum Stock Level,Supplier ID,Supplier Name,Supplier Country,Lead Time (Days),Last Purchase Date,Unit Cost,Selling Price,Inventory Value,Currency,Last Stock Movement Date,Last Restock Date,Expiry Date,Stock Status,Reorder Required
PRD-00750,UBI-CCT-0018,0493266432239,Ubiquiti UniFi Protect G4 Camera,Ubiquiti,CCTV & Security,NVR,Each,Active,Lagos Distribution Centre,LAG-DC,G-38-S1,G,S1,BT-876043,LOT-A6160,660,248,412,75,22,750,SUP-1011,Tech Distributors UK Ltd,United Kingdom,30,2026-03-22,644311.07,923444.01,425245306.2,NGN,2026-05-22,2026-03-27,,In Stock,No
PRD-01940,CIS-CCT-0051,2690959405219,Cisco Meraki MV12 Camera,Cisco,CCTV & Security,Intercoms,Each,Active,Abuja Regional Warehouse,ABJ-RW,E-18-S5,E,S5,BT-985900,LOT-B1018,199,70,129,50,25,200,SUP-1007,Guangzhou Sunrise Trading,China,34,2025-08-18,440901.07,676359.84,87739312.93,NGN,2026-05-20,2025-08-28,,In Stock,No
PRD-01124,MSF-LAP-0016,5535440789677,Microsoft Surface Laptop 5,Microsoft,Laptops,Gaming Laptops,Each,Active,Lagos Distribution Centre,LAG-DC,E-04-S3,E,S3,BT-820144,LOT-A6674,84,8,76,75,30,600,SUP-1001,TD Africa Distribution Ltd,Nigeria,10,2025-06-11,841673.87,1181672.23,70700605.08,NGN,2026-05-31,2025-06-15,,In Stock,No
PRD-02475,LEN-MOB-0078,0749522499498,Lenovo Tab P11,Lenovo,Mobile Phones,Tablets,Each,Active,Port Harcourt Distribution Centre,PHC-DC,,E,S3,BT-606997,LOT-C6028,49,11,38,10,3,100,SUP-1003,Slot Systems Limited,Nigeria,7,2025-05-04,590444.63,870707.28,28931786.87,NGN,2026-06-04,2025-05-05,,In Stock,No
PRD-00032,LEN-LAP-0003,5171236851604,Lenovo IdeaPad 3,Lenovo,Laptops,Gaming Laptops,Each,Active,Lagos Distribution Centre,LAG-DC,C-31-S5,C,S5,BT-945664,LOT-A5835,38,6,32,15,6,90,SUP-1002,Yudala Tech Supplies,Nigeria,9,2025-01-12,916378.15,1409935.6,34822369.7,NGN,2026-06-12,2025-01-27,,In Stock,No
PRD-00259,PHI-CLN-0006,,Philips Vacuum Cleaner FC9352,Philips,Cleaning Supplies,Cleaning Kits,Each,Active,Lagos Distribution Centre,LAG-DC,D-19-S9,D,S9,BT-927942,LOT-A3434,13,5,8,,6,100,SUP-1004,Ingram Micro MEA,United Arab Emirates,21,2025-10-02,110321.55,169982.63,1434180.15,NGN,2026-06-27,2025-10-17,2028-05-20,Low Stock,Yes
PRD-02347,CIS-CCT-0058,9284422138433,Cisco Meraki MV12 Camera,Cisco,CCTV & Security,IP Cameras,Each,Active,Port Harcourt Distribution Centre,PHC-DC,D-14-S2,D,S2,BT-139539,LOT-C4640,224,80,144,40,16,320,SUP-1009,Westgate Technologies,Nigeria,8,2026-03-08,682883.07,882271.25,152965807.68,NGN,2026-05-07,2026-03-21,,In Stock,No
PRD-02161,SAM-MOB-0070,1187400743262,Samsung Galaxy M34,Samsung,Mobile Phones,Tablets,Each,Active,Abuja Regional Warehouse,ABJ-RW,B-10-S2,B,S2,BT-963559,LOT-B4945,153,15,138,60,18,240,SUP-1003,Slot Systems Limited,Nigeria,6,2025-10-08,382294.55,581305.75,58491066.15,NGN,2026-05-23,2025-10-22,,In Stock,No
PRD-00987,SAM-MOB-0033,5972055482987,Samsung Galaxy A14,Samsung,Mobile Phones,Smartphones,Each,Active,Lagos Distribution Centre,LAG-DC,A-10-S1,A,S1,BT-254976,LOT-A7858,208,6,202,100,40,400,SUP-1011,Tech Distributors UK Ltd,United Kingdom,29,2025-09-01,503302.9,618772.59,104687003.2,NGN,2026-05-01,2025-09-13,,In Stock,No
PRD-02130,KNG-STO-0049,8534029708953,Kingston A400 480GB SSD,Kingston,Storage Devices,External Storage,Each,Active,Abuja Regional Warehouse,ABJ-RW,A-38-S1,A,S1,BT-201080,LOT-B3355,39,9,30,20,8,200,SUP-1010,Dubai Source Electronics,United Arab Emirates,19,2025-12-25,199128.11,262159.26,7765996.29,NGN,2026-05-04,2026-01-09,,In Stock,No
PRD-02401,PHI-AUD-0059,3424235928870,Philips SPA20 Speakers,Philips,Audio Equipment,Speakers,Each,Active,Port Harcourt Distribution Centre,PHC-DC,C-25-S6,C,S6,BT-629386,LOT-C4007,44,10,34,10,4,50,SUP-1009,Westgate Technologies,Nigeria,11,2025-01-29,127614.78,171850.64,5615050.32,NGN,2026-06-29,2025-01-31,,In Stock,No
PRD-03214,BRO-SUP-0098,1757840136622,Brother TN-2480 Toner,Brother,Office Supplies,Paper Products,Pack,Active,Port Harcourt Distribution Centre,PHC-DC,G-37-S5,G,S5,BT-453398,LOT-C7366,59,15,44,25,12,250,SUP-1010,Dubai Source Electronics,United Arab Emirates,14,2025-12-05,28427.53,42825.41,1677224.27,NGN,2026-05-17,2025-12-09,2027-05-23,In Stock,No
PRD-01995,HP-MOB-0072,2108110387738,HP Slate 7 Tablet,HP,Mobile Phones,Smartphones,Each,Active,Abuja Regional Warehouse,ABJ-RW,B-06-S4,B,S4,BT-729715,LOT-B4467,23,9,14,10,4,60,SUP-1002,Yudala Tech Supplies,Nigeria,5,2025-11-25,310158.94,435789.72,7133655.62,NGN,2026-06-18,2025-12-02,,In Stock,No
PRD-02109,MSF-ACC-0039,7858733466766,Microsoft Ergonomic Keyboard,Microsoft,Computer Accessories,Keyboards,Each,Active,Abuja Regional Warehouse,ABJ-RW,A-20-S2,A,S2,BT-928027,LOT-B5036,172,42,130,30,9,180,SUP-1002,Yudala Tech Supplies,Nigeria,8,2025-10-24,8682.23,11480.69,1493343.56,NGN,2026-06-19,2025-11-03,,In Stock,No
PRD-02338,HP-FUR-0059,7539879201482,HP Ergonomic Office Chair,HP,Office Furniture,Desk Accessories,Each,Active,Port Harcourt Distribution Centre,PHC-DC,G-09-S8,G,S8,BT-391844,LOT-C5458,256,89,167,50,25,300,SUP-1012,Mega Computer Mart,Nigeria,7,2025-12-25,105840.99,136250.18,27095293.44,NGN,2026-05-20,2026-01-05,,In Stock,No
PRD-01908,LOG-CLN-0053,,Logitech Screen Cleaning Kit,Logitech,Cleaning Supplies,Vacuum,Each,Active,Abuja Regional Warehouse,ABJ-RW,,B,S2,BT-944254,LOT-B4958,87,4,83,30,9,120,SUP-1010,Dubai Source Electronics,United Arab Emirates,19,2026-05-09,79281.75,93073.85,6897512.25,NGN,2026-05-14,2026-05-18,2028-04-19,In Stock,No
PRD-00779,HP-CLN-0016,4564523428644,HP Electronics Cleaning Wipes,HP,Cleaning Supplies,Wipes,Each,Active,Lagos Distribution Centre,LAG-DC,G-14-S2,G,S2,BT-266014,LOT-A4985,35,3,32,15,4,75,SUP-1002,Yudala Tech Supplies,Nigeria,7,2025-12-13,23579.0,29264.6,825265.0,NGN,2026-06-18,2025-12-19,2027-09-11,In Stock,No
PRD-00401,EPS-PRN-0008,9960105485741,Epson L121 Single Function,Epson,Printers,Inkjet Printers,Each,Active,Lagos Distribution Centre,LAG-DC,H-25-S1,H,S1,BT-821211,LOT-A8979,333,112,221,75,37,375,SUP-1004,Ingram Micro MEA,United Arab Emirates,19,2025-02-03,108119.98,131275.73,36003953.34,NGN,2026-05-23,2025-02-15,,In Stock,No
PRD-02759,LOG-ACC-0060,7572308961269,Logitech K380 Keyboard,Logitech,Computer Accessories,Webcams,Each,Active,Port Harcourt Distribution Centre,PHC-DC,C-34-S5,C,S5,BT-321385,LOT-C5182,450,73,377,100,40,600,SUP-1009,Westgate Technologies,Nigeria,10,2026-03-12,49707.99,60585.44,22368595.5,NGN,2026-06-20,2026-03-17,,In Stock,No
PRD-01617,HP-MOB-0062,2715422412503,HP Slate 7 Tablet,HP,Mobile Phones,Smartphones,Each,Active,Abuja Regional Warehouse,ABJ-RW,B-32-S4,B,S4,BT-608447,LOT-B8925,107,14,93,20,6,100,SUP-1007,Guangzhou Sunrise Trading,China,35,2025-06-26,442963.01,677455.17,47397042.07,NGN,2026-05-27,2025-07-01,,Overstock,No
PRD-00461,PHI-ELC-0025,,Philips LED Bulb 9W,Philips,Electrical Components,Lighting,Each,Active,Lagos Distribution Center,LAG-DC,F-39-S4,F,S4,BT-592075,LOT-A1562,95,30,65,50,15,400,SUP-1004,Ingram Micro MEA,United Arab Emirates,23,2026-03-05,36719.24,45831.33,3488327.8,NGN,2026-06-05,2026-03-13,,In Stock,No
PRD-00560,MSF-FUR-0012,9429688276970,Microsoft Adjustable Desk Riser,Microsoft,Office Furniture,Desks,Each,Active,Lagos Distribution Centre,LAG-DC,B-11-S2,B,S2,BT-635715,LOT-A9186,74,26,48,50,20,300,SUP-1002,Yudala Tech Supplies,Nigeria,9,2025-08-07,89394.87,122951.17,6615220.38,NGN,2026-06-04,2025-08-17,,In Stock,No
PRD-00388,PHI-CCT-0009,4609178513854,Philips WelcomeEye Door Intercom,Philips,CCTV & Security,NVR,Each,Active,Lagos Distribution Centre,LAG-DC,H-35-S4,H,S4,BT-831618,LOT-A3785,499,121,378,100,40,1000,SUP-1008,Pamtech Group,Nigeria,4,2025-03-11,319632.72,408444.95,159496727.28,NGN,2026-05-31,2025-03-14,,In Stock,No
PRD-01446,LOG-ACC-0032,3667488689969,Logitech C920 Webcam,Logitech,Computer Accessories,Mice,Each,Active,Abuja Regional Warehouse,ABJ-RW,E-26-S8,E,S8,BT-699181,LOT-B5568,229,90,139,40,16,160,SUP-1009,Westgate Technologies,Nigeria,11,2026-01-19,20947.65,26587.92,4797011.85,NGN,2026-05-07,2026-01-26,,Overstock,No
PRD-01827,BRO-PRN-0040,1491410112017,Brother DCP-T720DW,Brother,Printers,Inkjet Printers,Each,Active,Abuja Regional Warehouse,ABJ-RW,A-11-S1,A,S1,BT-789988,LOT-B9575,224,31,193,60,30,300,SUP-1005,Redington Gulf FZE,United Arab Emirates,21,2026-03-12,404129.12,492760.77,90524922.88,NGN,2026-06-22,2026-03-13,,In Stock,No
PRD-01098,PHI-CCT-0031,8925007516748,Philips WelcomeEye Door Intercom,Philips,CCTV & Security,NVR,Each,Active,Lagos Distribution Center,LAG-DC,G-37-S4,G,S4,BT-874402,LOT-A8529,486,38,448,100,50,400,SUP-1001,TD Africa Distribution Ltd,Nigeria,7,2026-02-06,661785.06,999713.36,321627539.16,NGN,2026-06-06,2026-02-10,,Overstock,No
PRD-03152,HP-SUP-0082,1486402294830,HP A4 Multipurpose Paper (Ream),HP,Office Supplies,Labels,Pack,Active,Port Harcourt Distribution Centre,PHC-DC,A-33-S2,A,S2,BT-286547,LOT-C6946,481,187,294,60,18,360,SUP-1006,Shenzhen Globex Electronics,China,39,2025-08-08,43590.55,54128.64,20967054.55,NGN,2026-05-10,2025-08-12,2027-01-04,Overstock,No
PRD-02170,HP-MOB-0075,7032260088843,HP Slate 7 Tablet,HP,Mobile Phones,Smartphones,Each,Discontinued,Abuja Regional Warehouse,ABJ-RW,D-04-S1,D,S1,BT-652647,LOT-B1242,386,154,232,50,20,300,SUP-1003,Slot Systems Limited,Nigeria,3,2025-02-11,449569.47,656727.17,173533815.42,NGN,2026-06-20,2025-02-20,,Overstock,No
PRD-00551,HP-FUR-0012,2034030109567,HP Ergonomic Office Chair,HP,Office Furniture,Desk Accessories,Each,Active,Lagos Distribution Centre,LAG-DC,E-07-S9,E,S9,BT-459022,LOT-A6233,144,27,117,100,50,400,SUP-1006,Shenzhen Globex Electronics,China,39,2026-01-27,183840.98,241739.21,26473101.12,NGN,2026-05-05,2026-01-30,,In Stock,No
PRD-01628,SAM-MOB-0054,8358558364548,Samsung Galaxy A14,Samsung,Mobile Phones,Tablets,Each,Discontinued,Abuja Regional Warehouse,ABJ-RW,A-27-S9,A,S9,BT-978435,LOT-B9979,0,0,0,30,9,180,SUP-1005,Redington Gulf FZE,United Arab Emirates,16,2025-02-18,478593.69,600369.66,0.0,NGN,2026-05-10,2025-02-28,,Out of Stock,Yes
PRD-00212,LOG-CLN-0005,5480157164794,Logitech Screen Cleaning Kit,Logitech,Cleaning Supplies,Wipes,Each,Active,Lagos Distribution Centre,LAG-DC,B-08-S8,B,S8,BT-644973,LOT-A3226,210,23,187,100,30,800,SUP-1004,Ingram Micro MEA,United Arab Emirates,22,2025-04-18,79791.98,108174.02,16756315.8,NGN,2026-05-12,2025-04-20,2027-02-15,In Stock,No
PRD-02010,CAN-PRN-0044,9851188116787,Canon PIXMA G3420,Canon,Printers,Laser Printers,Each,Active,Abuja Regional Warehouse,ABJ-RW,F-24-S2,F,S2,BT-119004,LOT-B7536,17,2,15,25,12,150,SUP-1007,Guangzhou Sunrise Trading,China,34,2025-06-29,208016.19,244240.57,3536275.23,NGN,2026-06-11,2025-07-14,,Low Stock,Yes
PRD-00048,DEL-ACC-0002,9711798089324,Dell KB216 Keyboard,Dell,Computer Accessories,Input Combos,Each,Active,Lagos Distribution Centre,LAG-DC,E-20-S4,E,S4,BT-227767,LOT-A1782,0,0,0,100,30,400,SUP-1002,Yudala Tech Supplies,Nigeria,9,2025-04-02,13120.7,20023.37,0.0,NGN,2026-05-11,2025-04-04,,Out of Stock,Yes
PRD-02845,MSF-FUR-0075,4762961171396,Microsoft Adjustable Desk Riser,MICROSOFT,Office Furniture,Seating,Each,Active,Port Harcourt Distribution Centre,PHC-DC,G-10-S3,G,S3,BT-634629,LOT-C8726,0,0,0,10,4,60,SUP-1010,Dubai Source Electronics,United Arab Emirates,18,2025-06-12,241347.22,344196.41,0.0,NGN,2026-05-16,2025-06-17,,Out of Stock,Yes
PRD-02218,PHI-ELC-0126,3557142709319,Philips Extension Socket 4-Way,Philips,Electrical Components,UPS,Each,Active,Abuja Regional Warehouse,ABJ-RW,A-27-S9,A,S9,BT-247373,LOT-B9530,103,18,85,,12,120,SUP-1010,Dubai Source Electronics,United Arab Emirates,14,2025-09-22,78970.24,109856.43,8133934.72,NGN,2026-05-26,2025-09-23,,In Stock,No
PRD-00368,CAN-PRN-0011,7893074645205,Canon imageCLASS MF445dw,Canon,Printers,Multifunction,Each,Active,Lagos Distribution Centre,LAG-DC,H-06-S4,H,S4,BT-248195,LOT-A7605,20,5,15,40,16,400,SUP-1002,Yudala Tech Supplies,Nigeria,9,12-18-2025,355311.65,420494.93,7106233.0,NGN,2026-05-05,2025-12-22,,Low Stock,Yes
PRD-00273,APC-ELC-0011,9734715662776,APC Smart-UPS 1500VA,APC,Electrical Components,Lighting,Each,Active,Lagos Distribution Centre,LAG-DC,D-12-S7,D,S7,BT-735281,LOT-A5079,47,7,40,20,6,100,SUP-1008,Pamtech Group,Nigeria,4,2025-12-23,140986.82,188475.37,6626380.54,NGN,2026-06-17,2026-01-04,,In Stock,No
PRD-00119,SAM-MOB-0003,7621202169797,Samsung Galaxy A54,Samsung,Mobile Phones,Smartphones,Each,Active,Lagos Distribution Centre,LAG-DC,G-30-S7,G,S7,BT-385037,LOT-A7319,77,30,47,20,10,100,SUP-1008,Pamtech Group,Nigeria,6,2025-06-24,585592.03,695203.45,45090586.31,NGN,2026-06-22,2025-06-27,,In Stock,No
PRD-01061,DEL-ACC-0023,8888610859735,Dell KB216 Keyboard,Dell,Computer Accessories,Input Combos,Each,Active,Lagos Distribution Centre,LAG-DC,G-38-S1,G,S1,BT-544607,LOT-A9322,20,1,19,10,3,40,SUP-1006,Shenzhen Globex Electronics,China,38,2025-12-04,34447.39,48231.17,688947.8,NGN,2026-05-07,2025-12-16,,In Stock,No
PRD-00673,HP-MOB-0029,9790608548186,HP Slate 7 Tablet,HP,Mobile Phones,Tablets,Each,Active,Lagos Distribution Centre,LAG-DC,H-30-S4,H,S4,BT-878215,LOT-A9715,-11,12,62,50,15,200,SUP-1008,Pamtech Group,Nigeria,10,2025-10-12,512932.74,621113.97,37957022.76,NGN,2026-05-17,2025-10-15,,In Stock,No
PRD-03156,LOG-FUR-0084,2256246775166,Logitech Desk Mat,Logitech,Office Furniture,Desk Accessories,Each,Active,Port Harcourt Distribution Centre,PHC-DC,G-01-S7,G,S7,BT-158251,LOT-C4516,449,169,280,100,30,1000,SUP-1009,Westgate Technologies,Nigeria,12,2026-02-13,184547.23,252656.86,82861706.27,NGN,2026-05-25,2026-02-16,,In Stock,No
PRD-01414,PHI-CLN-0038,1626251049461,Philips Vacuum Cleaner FC9352,Philips,Cleaning Supplies,Cleaning Kits,Each,Active,Abuja Regional Warehouse,ABJ-RW,F-15-S6,F,S6,BT-352683,LOT-B4388,8,1,7,10,4,80,SUP-1002,Yudala Tech Supplies,Nigeria,8,2026-06-02,135280.5,175294.39,1082244.0,NGN,2026-05-13,2026-06-09,2026-10-26,Low Stock,Yes
PRD-01812,CAN-SUP-0058,0253244888076,  Canon CL-746 Colour Ink  ,Canon,Office Supplies,Labels,Pack,Active,Abuja Regional Warehouse,ABJ-RW,B-34-S8,B,S8,BT-341273,LOT-B3992,0,0,0,75,30,450,SUP-1003,Slot Systems Limited,Nigeria,6,2025-02-11,38279.18,49507.49,0.0,NGN,2026-05-20,2025-02-22,2026-10-02,Out of Stock,Yes
PRD-00232,UBI-CCT-0007,4386490810818,Ubiquiti UniFi NVR,Ubiquiti,CCTV & Security,NVR,Each,Active,Lagos Distribution Centre,LAG-DC,G-31-S2,G,S2,BT-414985,LOT-A3434,169,28,141,50,15,200,SUP-1011,Tech Distributors UK Ltd,United Kingdom,31,2026-03-16,562431.24,856170.54,95050879.56,NGN,2026-05-31,2026-03-21,,In Stock,No
PRD-03366,LOG-ACC-0076,9520981149001,Logitech C920 Webcam,Logitech,Computer Accessories,Input Combos,Each,Discontinued,PortHarcourt DC,PHC-DC,B-14-S3,B,S3,BT-638252,LOT-C8313,54,17,37,50,20,250,SUP-1010,Dubai Source Electronics,United Arab Emirates,17,2026-05-15,7393.61,10972.46,399254.94,NGN,2026-04-30,2026-05-23,,In Stock,No
PRD-03394,HP-MOB-0123,1468212432093,  HP Slate 7 Tablet  ,HP,Mobile Phones,Smartphones,Each,Active,Port Harcourt Distribution Centre,PHC-DC,C-34-S3,C,S3,BT-619069,LOT-C4412,59,6,53,25,10,125,SUP-1010,Dubai Source Electronics,United Arab Emirates,19,2026-06-03,589538.35,694931.13,34782762.65,NGN,2026-05-09,2026-06-18,,In Stock,No
PRD-01660,SAM-MOB-0056,6562067039336,Samsung Galaxy A14,Samsung,Mobile Phones,Tablets,Each,Active,Abuja Regional Warehouse,ABJ-RW,D-40-S3,D,S3,BT-865810,LOT-B8299,224,81,143,25,12,250,SUP-1003,Slot Systems Limited,Nigeria,4,2025-04-01,577877.35,684732.09,129444526.4,NGN,2026-05-11,2025-04-07,,In Stock,No
PRD-01352,EPS-PRN-0021,1148816058019,Epson EcoTank L3250,Epson,Printers,Inkjet Printers,Each,Active,Abuja Regional Warehouse,ABJ-RW,C-34-S2,C,S2,BT-267101,LOT-B9169,228,64,164,50,25,300,SUP-1007,Guangzhou Sunrise Trading,China,36,2025-01-22,123785.0,178443.93,28222980.0,NGN,2026-05-06,2025-01-28,,In Stock,No
